ISO,Country,2023,Income Group
AFG,Afghanistan,0.251374062035753,L
ALB,Albania,0.42269803324319,UM
DZA,Algeria,0.345662458864351,UM
AND,Andorra,0.452459320881706,H
AGO,Angola,0.272532181731671,LM
ATG,Antigua and Barbuda,0.448599090725985,H
ARG,Argentina,0.375078343403138,UM
ARM,Armenia,0.500820065638309,UM
AUS,Australia,0.693309072991234,H
AUT,Austria,0.676197628384371,H
AZE,Azerbaijan,0.443726742855352,UM
BHS,Bahamas,0.432598392246487,H
BHR,Bahrain,0.526711547844828,H
BGD,Bangladesh,0.27930849019397,LM
BRB,Barbados,0.590085510975419,H
BLR,Belarus,0.459539782750123,UM
BEL,Belgium,0.586680831331403,H
BLZ,Belize,0.339967386887715,UM
BEN,Benin,0.341775313800639,LM
BTN,Bhutan,0.478615268929001,LM
BOL,"Bolivia, Plurinational State of",0.284553675552306,LM
BIH,Bosnia and Herzegovina,0.370434524014239,UM
BWA,Botswana,0.430593291832732,UM
BRA,Brazil,0.350466480103187,UM
BRN,Brunei Darussalam,0.538148660701917,H
BGR,Bulgaria,0.464236756653287,H
BFA,Burkina Faso,0.27482711698912,L
BDI,Burundi,0.272391783523305,L
KHM,Cambodia,0.291590099202459,LM
CMR,Cameroon,0.260368466197561,LM
CAN,Canada,0.64522196244372,H
CPV,Cape Verde,0.450351528937161,UM
CAF,Central African Republic,0.132552577577126,L
TCD,Chad,0.186651842683275,L
CHL,Chile,0.530893745356944,H
CHN,China,0.555667227908471,UM
COL,Colombia,0.373337208571654,UM
COM,Comoros,0.288918497694303,LM
COG,Congo,0.24443433914416,LM
COD,"Congo, the Democratic Republic o",0.214130401841211,L
CRI,Costa Rica,0.454866858971535,H
CIV,Cote d'Ivoire,0.319413276023028,LM
HRV,Croatia,0.492805744919071,H
CUB,Cuba,0.337759848495826,UM
CYP,Cyprus,0.513207474334342,H
CZE,Czech Republic,0.557322209821168,H
DNK,Denmark,0.765320334627802,H
DJI,Djibouti,0.322369580667254,LM
DMA,Dominica,0.51580929381958,UM
DOM,Dominican Republic,0.361979136022354,UM
ECU,Ecuador,0.333845756550143,UM
EGY,Egypt,0.350966487347935,LM
SLV,El Salvador,0.351470551711121,UM
GNQ,Equatorial Guinea,0.257091995011705,UM
ERI,Eritrea,0.213409394367865,L
EST,Estonia,0.613021653007678,H
ETH,Ethiopia,0.29283154035766,
FJI,Fiji,0.477107973077222,UM
FIN,Finland,0.74559470298101,H
FRA,France,0.649031394826828,H
GAB,Gabon,0.28890535339169,UM
GMB,Gambia,0.328896645456793,L
GEO,Georgia,0.570356721775658,UM
DEU,Germany,0.68161124281923,H
GHA,Ghana,0.347538790781071,LM
GRC,Greece,0.534466292258504,H
GRD,Grenada,0.52537747817592,UM
GTM,Guatemala,0.318057253324156,UM
GIN,Guinea,0.307854967286734,LM
GNB,Guinea-Bissau,0.276644070680983,L
GUY,Guyana,0.336676386342293,H
HTI,Haiti,0.216355809547699,LM
HND,Honduras,0.260003178694527,LM
HUN,Hungary,0.493617982156558,H
ISL,Iceland,0.693499466343527,H
IND,India,0.393714361052674,LM
IDN,Indonesia,0.398129271148448,UM
IRN,"Iran, Islamic Republic of",0.367496068744824,UM
IRQ,Iraq,0.301188223733444,UM
IRL,Ireland,0.600515099919212,H
ISR,Israel,0.523852831272241,H
ITA,Italy,0.537360811721265,H
JAM,Jamaica,0.40680274948609,UM
JPN,Japan,0.685058120065923,H
JOR,Jordan,0.412804512698868,LM
KAZ,Kazakhstan,0.507322908255109,UM
KEN,Kenya,0.305556854143797,LM
KIR,Kiribati,0.447493771254115,LM
PRK,"Korea, Democratic People's Repub",0.339537158758866,L
KOR,"Korea, Republic of",0.726999823197072,H
KWT,Kuwait,0.469669725071288,H
KGZ,Kyrgyzstan,0.393693458702386,LM
LAO,Lao People's Democratic Republic,0.335772527506012,LM
LVA,Latvia,0.579739325575857,H
LBN,Lebanon,0.288313858597877,LM
LSO,Lesotho,0.302459624657576,LM
LBR,Liberia,0.2804635319622,L
LBY,Libyan Arab Jamahiriya,0.301999169949368,UM
LIE,Liechtenstein,0.638210926502373,H
LTU,Lithuania,0.598386526006303,H
LUX,Luxembourg,0.655116714148073,H
MKD,Macedonia,0.474219912531942,UM
MDG,Madagascar,0.260796199654557,L
MWI,Malawi,0.28667910246034,L
MYS,Malaysia,0.505617252399218,UM
MDV,Maldives,0.45460291853433,UM
MLI,Mali,0.280865858354974,L
MLT,Malta,0.491827991080915,H
MHL,Marshall Islands,0.423376079170258,UM
MRT,Mauritania,0.354413283750964,LM
MUS,Mauritius,0.563975256743701,UM
MEX,Mexico,0.361279364751315,UM
FSM,"Micronesia, Federated States of",0.36705610381182,LM
MDA,"Moldova, Republic of",0.43997515920611,UM
MCO,Monaco,0.685146516275057,H
MNG,Mongolia,0.462281953971968,UM
MNE,Montenegro,0.466109055980211,UM
MAR,Morocco,0.430685302251667,LM
MOZ,Mozambique,0.263459593264345,L
MMR,Myanmar,0.252192754510647,LM
NAM,Namibia,0.3797610107038,LM
NRU,Nauru,0.577583840077097,H
NPL,Nepal,0.362091270188631,LM
NLD,Netherlands,0.67132502165124,H
NZL,New Zealand,0.689671937870359,H
NIC,Nicaragua,0.279448897785953,LM
NER,Niger,0.334762625328975,L
NGA,Nigeria,0.252553196718334,LM
NOR,Norway,0.764780821430272,H
OMN,Oman,0.504192573420417,H
PAK,Pakistan,0.299420228815684,LM
PLW,Palau,0.444756493701615,H
PAN,Panama,0.380230032457491,H
PNG,Papua New Guinea,0.291471114074833,LM
PRY,Paraguay,0.361016259998125,UM
PER,Peru,0.388530029533557,UM
PHL,Philippines,0.355934777426713,LM
POL,Poland,0.536466125827891,H
PRT,Portugal,0.573929157340897,H
QAT,Qatar,0.543043145977455,H
ROU,Romania,0.440681797862735,H
RUS,Russian Federation,0.491439100136,H
RWA,Rwanda,0.432686997942559,L
KNA,Saint Kitts and Nevis,0.55322089212856,H
LCA,Saint Lucia,0.450559293633692,UM
VCT,Saint Vincent and the Grenadines,0.503914022868128,UM
WSM,Samoa,0.430634645201257,UM
SMR,San Marino,0.643942933711489,H
STP,Sao Tome and Principe,0.369562179370151,LM
SAU,Saudi Arabia,0.572809529116339,H
SEN,Senegal,0.352651288850532,LM
SRB,Serbia,0.44890327324382,UM
SYC,Seychelles,0.473639130799724,H
SLE,Sierra Leone,0.296500007610857,L
SGP,Singapore,0.800123608348007,H
SVK,Slovakia,0.500487850009093,H
SVN,Slovenia,0.593117115577722,H
SLB,Solomon Islands,0.39908671300922,LM
SOM,Somalia,0.361021731996272,L
ZAF,South Africa,0.356825777743611,UM
ESP,Spain,0.524970122070025,H
LKA,Sri Lanka,0.384242000135626,LM
SDN,Sudan,0.238561446745367,L
SUR,Suriname,0.332489137115247,UM
SWZ,Swaziland,0.306077890698356,LM
SWE,Sweden,0.713544863787731,H
CHE,Switzerland,0.691330058569058,H
SYR,Syrian Arab Republic,0.224077141874499,L
TJK,Tajikistan,0.33136107139123,LM
TZA,"Tanzania, United Republic of",0.312186765871623,LM
THA,Thailand,0.488868029772619,UM
TLS,Timor-Leste,0.384275169771968,LM
TGO,Togo,0.356496668581366,L
TON,Tonga,0.453548906957153,UM
TTO,Trinidad and Tobago,0.338371787094176,H
TUN,Tunisia,0.427891185422689,LM
TUR,Turkey,0.480612920334457,UM
TKM,Turkmenistan,0.23967417465075,UM
TUV,Tuvalu,0.630671118316392,UM
UGA,Uganda,0.283406890810305,L
UKR,Ukraine,0.414040726485196,UM
ARE,United Arab Emirates,0.587110079387922,H
GBR,United Kingdom,0.681322595405575,H
USA,United States,0.647312557199093,H
URY,Uruguay,0.506872812356967,H
UZB,Uzbekistan,0.427919218579603,LM
VUT,Vanuatu,0.372611604434162,LM
VEN,"Venezuela, Bolivarian Republic of",0.191710938827557,
VNM,Viet Nam,0.429317148065854,LM
YEM,Yemen,0.24209547307575,L
ZMB,Zambia,0.33537516889059,LM
ZWE,Zimbabwe,0.220661284121452,LM
